Document,Source,ID,Class,Class_ID
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_350,2,Map
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_374,0,Text
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_448,1,Image
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_479,0,Text
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_484,0,Text
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_606,2,Map
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_77,2,Map
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_78,2,Map
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_79,2,Map
aeu.ark__13960_t71v72w2r,The grand fleet 1914-1916 its creation,aeu.ark__13960_t71v72w2r-seq_80,2,Map
coo.31924091848113,The Wiltshire archaeological and natural history magazine,coo.31924091848113-seq_116,0,Text
coo.31924091848113,The Wiltshire archaeological and natural history magazine,coo.31924091848113-seq_17,0,Text
coo.31924091848113,The Wiltshire archaeological and natural history magazine,coo.31924091848113-seq_402,0,Text
